month,pr,year
1,6,1981
2,41,1981
3,3,1981
4,17,1981
5,81,1981
6,57,1981
7,44,1981
8,45,1981
9,13,1981
10,14,1981
11,30,1981
12,20,1981
1,42,1982
2,1,1982
3,5,1982
4,0,1982
5,26,1982
6,60,1982
7,24,1982
8,59,1982
9,33,1982
10,13,1982
11,8,1982
12,4,1982
1,1,1983
2,3,1983
3,24,1983
4,7,1983
5,11,1983
6,82,1983
7,69,1983
8,38,1983
9,38,1983
10,5,1983
11,55,1983
12,25,1983
1,2,1984
2,9,1984
3,48,1984
4,51,1984
5,96,1984
6,21,1984
7,42,1984
8,30,1984
9,27,1984
10,6,1984
11,15,1984
12,4,1984
1,0,1985
2,29,1985
3,24,1985
4,6,1985
5,13,1985
6,20,1985
7,64,1985
8,38,1985
9,26,1985
10,6,1985
11,11,1985
12,1,1985
1,5,1986
2,50,1986
3,10,1986
4,6,1986
5,60,1986
6,90,1986
7,35,1986
8,38,1986
9,20,1986
10,10,1986
11,16,1986
12,1,1986
1,0,1987
2,0,1987
3,5,1987
4,26,1987
5,44,1987
6,42,1987
7,49,1987
8,37,1987
9,17,1987
10,11,1987
11,22,1987
12,31,1987
1,0,1988
2,0,1988
3,35,1988
4,31,1988
5,50,1988
6,52,1988
7,52,1988
8,50,1988
9,24,1988
10,10,1988
11,8,1988
12,25,1988
1,11,1989
2,28,1989
3,4,1989
4,31,1989
5,85,1989
6,65,1989
7,32,1989
8,17,1989
9,8,1989
10,15,1989
11,3,1989
12,1,1989
1,78,1990
2,18,1990
3,40,1990
4,27,1990
5,13,1990
6,31,1990
7,67,1990
8,26,1990
9,22,1990
10,31,1990
11,1,1990
12,1,1990
1,16,1991
2,3,1991
3,5,1991
4,14,1991
5,37,1991
6,63,1991
7,64,1991
8,26,1991
9,22,1991
10,16,1991
11,26,1991
12,37,1991
1,5,1992
2,43,1992
3,31,1992
4,44,1992
5,10,1992
6,78,1992
7,37,1992
8,85,1992
9,45,1992
10,12,1992
11,18,1992
12,5,1992
1,0,1993
2,2,1993
3,14,1993
4,11,1993
5,90,1993
6,59,1993
7,30,1993
8,45,1993
9,30,1993
10,8,1993
11,28,1993
12,4,1993
1,0,1994
2,7,1994
3,0,1994
4,0,1994
5,59,1994
6,35,1994
7,25,1994
8,39,1994
9,19,1994
10,4,1994
11,0,1994
12,7,1994
1,13,1995
2,16,1995
3,20,1995
4,12,1995
5,59,1995
6,64,1995
7,97,1995
8,22,1995
9,32,1995
10,35,1995
11,3,1995
12,28,1995
1,1,1996
2,2,1996
3,3,1996
4,19,1996
5,27,1996
6,64,1996
7,75,1996
8,39,1996
9,47,1996
10,17,1996
11,35,1996
12,1,1996
1,0,1997
2,36,1997
3,20,1997
4,35,1997
5,30,1997
6,23,1997
7,47,1997
8,47,1997
9,29,1997
10,12,1997
11,12,1997
12,0,1997
1,0,1998
2,0,1998
3,8,1998
4,43,1998
5,26,1998
6,88,1998
7,50,1998
8,49,1998
9,23,1998
10,5,1998
11,4,1998
12,8,1998
1,15,1999
2,2,1999
3,56,1999
4,15,1999
5,114,1999
6,44,1999
7,58,1999
8,46,1999
9,42,1999
10,29,1999
11,8,1999
12,36,1999
1,69,2000
2,0,2000
3,31,2000
4,15,2000
5,9,2000
6,25,2000
7,53,2000
8,39,2000
9,15,2000
10,0,2000
11,2,2000
12,2,2000
1,36,2001
2,18,2001
3,1,2001
4,10,2001
5,45,2001
6,9,2001
7,62,2001
8,36,2001
9,29,2001
10,12,2001
11,18,2001
12,7,2001
1,16,2002
2,4,2002
3,1,2002
4,25,2002
5,11,2002
6,34,2002
7,31,2002
8,31,2002
9,15,2002
10,12,2002
11,11,2002
12,18,2002
1,0,2003
2,51,2003
3,21,2003
4,36,2003
5,57,2003
6,46,2003
7,36,2003
8,65,2003
9,28,2003
10,5,2003
11,12,2003
12,12,2003
1,11,2004
2,19,2004
3,3,2004
4,14,2004
5,43,2004
6,63,2004
7,36,2004
8,49,2004
9,13,2004
10,16,2004
11,8,2004
12,5,2004
1,0,2005
2,1,2005
3,37,2005
4,21,2005
5,78,2005
6,64,2005
7,14,2005
8,48,2005
9,30,2005
10,13,2005
11,6,2005
12,1,2005
1,75,2006
2,36,2006
3,13,2006
4,22,2006
5,16,2006
6,13,2006
7,26,2006
8,32,2006
9,41,2006
10,10,2006
11,16,2006
12,13,2006
1,22,2007
2,4,2007
3,0,2007
4,21,2007
5,24,2007
6,20,2007
7,56,2007
8,29,2007
9,22,2007
10,19,2007
11,0,2007
12,31,2007
1,0,2008
2,22,2008
3,3,2008
4,54,2008
5,15,2008
6,33,2008
7,78,2008
8,14,2008
9,45,2008
10,32,2008
11,17,2008
12,4,2008
1,14,2009
2,9,2009
3,22,2009
4,11,2009
5,15,2009
6,44,2009
7,59,2009
8,42,2009
9,25,2009
10,14,2009
11,22,2009
12,6,2009
1,2,2010
2,1,2010
3,31,2010
4,0,2010
5,28,2010
6,17,2010
7,40,2010
8,20,2010
9,7,2010
10,1,2010
11,6,2010
12,16,2010
1,37,2011
2,5,2011
3,4,2011
4,12,2011
5,33,2011
6,35,2011
7,55,2011
8,34,2011
9,27,2011
10,49,2011
11,20,2011
12,17,2011
1,21,2012
2,21,2012
3,6,2012
4,6,2012
5,18,2012
6,46,2012
7,10,2012
8,29,2012
9,23,2012
10,2,2012
11,40,2012
12,21,2012
1,37,2013
2,8,2013
3,38,2013
4,5,2013
5,42,2013
6,8,2013
7,36,2013
8,36,2013
9,54,2013
10,19,2013
11,2,2013
12,4,2013
1,13,2014
2,2,2014
3,6,2014
4,39,2014
5,53,2014
6,29,2014
7,46,2014
8,31,2014
9,23,2014
10,31,2014
11,25,2014
12,1,2014
1,0,2015
2,35,2015
3,21,2015
4,24,2015
5,20,2015
6,21,2015
7,47,2015
8,38,2015
9,8,2015
10,3,2015
11,19,2015
12,9,2015
1,79,2016
2,2,2016
3,56,2016
4,34,2016
5,27,2016
6,21,2016
7,48,2016
8,41,2016
9,20,2016
10,7,2016
11,1,2016
12,12,2016
1,21,2017
2,70,2017
3,22,2017
4,5,2017
5,9,2017
6,23,2017
7,41,2017
8,44,2017
9,27,2017
10,20,2017
11,26,2017
12,7,2017
1,12,2018
2,12,2018
3,3,2018
4,7,2018
5,22,2018
6,36,2018
7,52,2018
8,56,2018
9,13,2018
10,22,2018
11,6,2018
12,3,2018
1,1,2019
2,3,2019
3,9,2019
4,23,2019
5,11,2019
6,55,2019
7,32,2019
8,37,2019
9,8,2019
10,14,2019
11,1,2019
12,1,2019
1,1,2020
2,17,2020
3,10,2020
4,6,2020
5,42,2020
6,39,2020
7,23,2020
8,36,2020
9,10,2020
10,2,2020
11,22,2020
12,4,2020
1,1,2021
2,23,2021
3,78,2021
4,26,2021
5,85,2021
6,33,2021
7,83,2021
8,29,2021
9,20,2021
10,37,2021
11,2,2021
12,2,2021